Use Custom Layer,Num Custom Layers,Num Filters,Regularization Factor,Epochs,Batch Size,Learning Rate,Accuracy,Loss,Training Time,Peak Memory Usage (MB),Model Complexity
True,1,32,0.1,10,64,0.01,0.9732999801635742,0.13819938898086548,41.93746495246887,-49.484375,178922
False,1,32,0.1,10,64,0.01,0.9797999858856201,0.1427495777606964,40.84915208816528,162.09375,179978
True,1,32,0.1,10,128,0.001,0.9833999872207642,0.05658929422497749,31.886544704437256,-305.625,178922
False,1,32,0.1,10,128,0.001,0.9837999939918518,0.06717449426651001,30.55041193962097,366.078125,179978
True,1,32,0.1,10,128,0.01,0.977400004863739,0.10014516115188599,30.901073217391968,-368.53125,178922
False,1,32,0.1,10,128,0.01,0.9729999899864197,0.17385515570640564,30.550961017608643,137.625,179978
True,1,32,0.1,20,64,0.001,0.982200026512146,0.09857475012540817,86.76308298110962,-280.0625,178922
False,1,32,0.1,20,64,0.001,0.9840999841690063,0.06820061802864075,80.10789513587952,-48.59375,179978
True,1,32,0.1,20,64,0.01,0.9757999777793884,0.15437421202659607,85.32668209075928,-62.125,178922
False,1,32,0.1,20,64,0.01,0.9801999926567078,0.12603704631328583,79.63695883750916,-122.40625,179978
True,1,32,0.1,20,128,0.001,0.98580002784729,0.0705263763666153,61.083845138549805,-161.984375,178922
False,1,32,0.1,20,128,0.001,0.9848999977111816,0.06469045579433441,60.806320905685425,-99.734375,179978
True,1,32,0.1,20,128,0.01,0.978600025177002,0.16428403556346893,61.82425117492676,451.15625,178922
False,1,32,0.1,20,128,0.01,0.9815999865531921,0.10653989017009735,59.67945384979248,188.46875,179978
True,1,64,0.001,10,64,0.001,0.9847000241279602,0.07292581349611282,67.37414073944092,-570.9375,702538
False,1,64,0.001,10,64,0.001,0.9807999730110168,0.07498621195554733,61.95395302772522,-161.046875,706698
True,1,64,0.001,10,64,0.01,0.977400004863739,0.10094331949949265,63.375285148620605,-74.140625,702538
False,1,64,0.001,10,64,0.01,0.9796000123023987,0.12130357325077057,56.85827612876892,18.0625,706698
True,1,64,0.001,10,128,0.001,0.986299991607666,0.05042414739727974,53.52834391593933,105.171875,702538
False,1,64,0.001,10,128,0.001,0.9865000247955322,0.06445468962192535,49.23307013511658,-45.109375,706698
True,1,64,0.001,10,128,0.01,0.9769999980926514,0.15261200070381165,51.02093696594238,-159.6875,702538
False,1,64,0.001,10,128,0.01,0.9853000044822693,0.08090575784444809,49.31126308441162,92.515625,706698
True,1,64,0.001,20,64,0.001,0.9872000217437744,0.06961672008037567,126.639643907547,-226.5,702538
